quarter,time,score,team,description
4,10:13.0,89-85,Bulls,Turnover by J. Giddey (bad pass; steal by D. Barlow)
4,10:08.0,89-85,76ers,V. Edgecombe misses 3-pt jump shot from 24 ft
4,10:05.0,89-85,Bulls,Defensive rebound by C. White
4,9:43.0,89-85,Bulls,N. Vučević misses 2-pt hook shot from 5 ft
4,9:41.0,89-85,76ers,Defensive rebound by D. Barlow
4,9:26.0,89-85,76ers,V. Edgecombe misses 2-pt jump shot from 20 ft
4,9:23.0,89-85,Bulls,Defensive rebound by J. Smith
4,9:14.0,89-85,Bulls,C. White misses 3-pt jump shot from 28 ft
4,9:10.0,89-85,76ers,Defensive rebound by D. Barlow
4,9:10.0,89-85,76ers,T. Maxey enters the game for Q. Grimes
4,8:52.0,89-85,76ers,Turnover by P. George (lost ball; steal by A. Dosunmu)
4,8:46.0,89-85,Bulls,Personal foul by P. George (drawn by N. Vučević)
