quarter,time,score,team,description
3,5:20.0,69-82,Rockets,J. Okogie makes 3-pt jump shot from 23 ft (assist by T. Eason)
3,5:19.0,69-82,Mavericks,Dallas full timeout
3,5:19.0,69-82,Mavericks,C. Martin enters the game for P. Washington
3,5:19.0,69-82,Rockets,D. Finney-Smith enters the game for T. Eason
3,5:04.0,69-82,Mavericks,C. Martin misses 2-pt jump shot from 22 ft
3,5:03.0,69-82,Rockets,Defensive rebound by J. Okogie
3,4:52.0,69-82,Rockets,A. Şengün misses 2-pt jump shot from 13 ft
3,4:51.0,69-82,Mavericks,Defensive rebound by M. Cisse
3,4:45.0,71-82,Mavericks,M. Cisse makes 2-pt dunk from 3 ft (assist by C. Martin)
3,4:33.0,71-82,Rockets,Personal foul by M. Cisse (drawn by A. Şengün)
3,4:33.0,71-82,Mavericks,R. Nembhard enters the game for M. Christie
3,4:33.0,71-82,Rockets,R. Sheppard enters the game for A. Thompson
3,4:21.0,71-82,Rockets,K. Durant misses 2-pt jump shot from 17 ft
3,4:18.0,71-82,Rockets,Offensive rebound by D. Finney-Smith
3,4:15.0,71-82,Rockets,Turnover by K. Durant (lost ball; steal by C. Martin)
3,4:12.0,71-82,Mavericks,Shooting foul by J. Okogie (drawn by C. Flagg)
3,4:12.0,71-82,Mavericks,C. Flagg misses free throw 1 of 2
3,4:12.0,71-82,Mavericks,Offensive rebound by Team
3,4:12.0,72-82,Mavericks,C. Flagg makes free throw 2 of 2
3,3:53.0,72-82,Rockets,K. Durant misses 2-pt jump shot from 12 ft
3,3:50.0,72-82,Mavericks,Defensive rebound by C. Flagg
3,3:35.0,72-82,Mavericks,Shooting foul by R. Sheppard (drawn by M. Cisse)
3,3:35.0,72-82,Mavericks,M. Cisse misses free throw 1 of 2
3,3:35.0,72-82,Mavericks,Offensive rebound by Team
3,3:35.0,73-82,Mavericks,M. Cisse makes free throw 2 of 2
3,3:14.0,73-84,Rockets,J. Okogie makes 2-pt dunk from 1 ft (assist by D. Finney-Smith)
3,2:56.0,76-84,Mavericks,C. Flagg makes 3-pt jump shot from 27 ft (assist by C. Martin)
3,2:39.0,76-84,Rockets,D. Finney-Smith misses 3-pt jump shot from 23 ft
3,2:38.0,76-84,Mavericks,Defensive rebound by C. Martin
3,2:25.0,78-84,Mavericks,C. Flagg makes 2-pt layup from 12 ft (assist by C. Martin)
3,2:11.0,78-84,Rockets,K. Durant misses 2-pt jump shot from 21 ft
3,2:10.0,78-84,Mavericks,Defensive rebound by C. Flagg
3,2:05.0,78-84,Mavericks,C. Martin misses 2-pt layup from 4 ft (block by D. Finney-Smith)
3,2:04.0,78-84,Rockets,Defensive rebound by A. Şengün
3,1:58.0,78-87,Rockets,J. Okogie makes 3-pt jump shot from 23 ft (assist by A. Şengün)
3,1:28.0,81-87,Mavericks,C. Martin makes 3-pt jump shot from 26 ft (assist by C. Flagg)
3,1:07.0,81-87,Rockets,K. Durant misses 3-pt jump shot from 23 ft
3,1:05.0,81-87,Rockets,Offensive rebound by A. Şengün
3,1:04.0,81-87,Rockets,Turnover by A. Şengün (bad pass)
3,1:04.0,81-87,Rockets,Loose ball foul by K. Durant (drawn by C. Martin)
3,1:04.0,81-87,Mavericks,C. Martin misses free throw 1 of 2
3,1:04.0,81-87,Mavericks,Offensive rebound by Team
3,1:04.0,81-87,Mavericks,N. Marshall enters the game for C. Flagg
3,1:04.0,81-87,Rockets,C. Capela enters the game for K. Durant
3,1:04.0,81-87,Rockets,J. Smith enters the game for D. Finney-Smith
3,1:04.0,81-87,Rockets,A. Thompson enters the game for A. Şengün
3,1:04.0,82-87,Mavericks,C. Martin makes free throw 2 of 2
3,0:54.0,82-87,Rockets,Personal foul by K. Thompson (drawn by A. Thompson)
3,0:47.0,82-87,Rockets,R. Sheppard misses 3-pt jump shot from 25 ft
